customer_id,signup_date,reference_date,tenure_months,contract_type,plan_type,monthly_charge,auto_pay,has_discount,num_logins_30d,total_usage_30d_min,avg_session_length_min,days_since_last_login,recent_activity_flag,support_tickets_90d,failed_payments_90d,churn_prob,churn,churn_reason
1,2022-09-30,2025-11-15,38,Monthly,Standard,550,1,0,8,265,33.1,13,0,1,0,0.129,0,
2,2025-08-17,2025-11-15,3,Monthly,Basic,471,1,0,7,82,11.7,17,0,0,0,0.102,0,
3,2024-07-13,2025-11-15,16,Monthly,Basic,433,0,0,4,62,15.5,15,0,0,0,0.262,0,
4,2023-11-13,2025-11-15,24,Quarterly,Standard,658,1,0,10,124,12.4,2,0,0,0,0.107,1,found_alternative
5,2021-08-27,2025-11-15,51,Monthly,Standard,573,1,0,11,367,33.4,3,0,0,1,0.383,0,
6,2021-08-27,2025-11-15,51,Annual,Standard,696,1,0,11,231,21.0,15,0,1,0,0.08,0,
7,2021-03-02,2025-11-15,57,Monthly,Premium,1110,1,1,10,75,7.5,0,0,0,0,0.107,0,
8,2025-03-15,2025-11-15,8,Quarterly,Basic,386,1,1,6,146,24.3,5,0,0,0,0.01,0,
9,2023-11-18,2025-11-15,24,Quarterly,Standard,674,0,0,6,137,22.8,2,0,1,0,0.099,0,
10,2024-05-31,2025-11-15,17,Quarterly,Basic,288,0,0,8,220,27.5,23,0,0,0,0.169,0,
11,2020-12-23,2025-11-15,59,Annual,Standard,691,1,1,9,373,41.4,4,0,2,0,0.029,0,
12,2025-09-21,2025-11-15,1,Quarterly,Basic,265,0,1,8,298,37.2,10,0,1,0,0.337,0,
13,2025-01-13,2025-11-15,10,Annual,Basic,199,1,0,9,318,35.3,7,0,0,0,0.15,0,
14,2021-12-08,2025-11-15,47,Monthly,Basic,378,1,0,2,26,13.0,1,0,0,0,0.228,0,
15,2021-10-13,2025-11-15,49,Monthly,Basic,294,1,0,7,289,41.3,19,0,0,0,0.155,0,
16,2021-10-16,2025-11-15,49,Monthly,Premium,1248,1,0,15,295,19.7,7,0,0,0,0.238,0,
17,2022-05-25,2025-11-15,42,Monthly,Standard,745,1,0,11,249,22.6,17,0,0,0,0.104,0,
